Date,Open,High,Low,Close
06/16/2021,72.45,72.99,71.61,72.15
06/15/2021,71.16,72.49,70.81,72.12
06/14/2021,70.65,71.78,70.65,70.88
06/11/2021,70.1,71.24,69.68,70.91
06/10/2021,69.76,70.65,68.68,70.29
06/09/2021,70.01,70.62,69.46,69.96
06/08/2021,69.29,70.27,68.47,70.05
06/07/2021,69.52,70,68.93,69.23
06/04/2021,68.91,69.76,68.33,69.62
06/03/2021,68.76,69.4,68.19,68.81
06/02/2021,67.99,69,67.78,68.83
06/01/2021,67.06,68.87,66.89,67.72
05/28/2021,66.95,67.52,66.17,66.32
05/27/2021,66.16,66.92,65.47,66.85
05/26/2021,66.04,66.43,65.25,66.21
05/25/2021,66.02,66.51,65.41,66.07
05/24/2021,63.87,66.14,63.63,66.05
05/21/2021,61.89,64.07,61.56,63.58
05/20/2021,63.39,63.96,61.89,62.05
05/19/2021,65.28,65.35,61.95,63.36
05/18/2021,66.33,67.01,64.11,65.49
05/17/2021,65.5,66.43,64.83,66.27
05/14/2021,63.83,65.62,63.33,65.37
05/13/2021,65.75,65.81,63.09,63.82
05/12/2021,65.46,66.63,64.97,66.08
05/11/2021,64.9,65.5,63.68,65.28
05/10/2021,65.57,65.75,63.95,64.92
05/07/2021,64.9,65.24,63.9,64.9
05/06/2021,65.27,65.98,64.5,64.71
05/05/2021,66.45,66.76,64.92,65.63
05/04/2021,64.53,66.19,64.29,65.69
05/03/2021,63.64,64.68,62.91,64.49
04/30/2021,64.88,64.95,63.08,63.58
04/29/2021,63.7,65.47,63.65,65.01
04/28/2021,63.04,64.53,62.67,63.86
04/27/2021,61.97,63.3,61.91,62.94
04/26/2021,62.06,62.31,60.66,61.91
04/23/2021,61.65,62.43,61.25,62.14
04/22/2021,61.11,61.87,60.61,61.43
04/21/2021,62.39,62.56,60.86,61.35
04/20/2021,63.47,64.3,61.5,62.44
04/19/2021,62.98,63.63,62.63,63.38
04/16/2021,63.32,63.88,62.83,63.13
04/15/2021,62.83,63.57,62.53,63.46
04/14/2021,60.44,63.44,60.38,63.15
04/13/2021,59.64,60.59,59.64,60.18
04/12/2021,59.35,60.77,58.73,59.7
04/09/2021,59.76,59.95,59.1,59.32
04/08/2021,59.52,59.93,58.82,59.6
04/07/2021,59.26,60.04,58.12,59.77
04/06/2021,58.8,60.9,58.62,59.33
04/05/2021,61.5,61.5,57.63,58.65
04/01/2021,59.49,61.75,58.86,61.45
03/31/2021,60.45,61.17,58.85,59.16
03/30/2021,61.96,62.27,59.94,60.55
03/29/2021,60.93,61.77,59.41,61.56
03/26/2021,58.48,61.36,58.32,60.97
03/25/2021,60.8,60.86,57.44,58.56
03/24/2021,57.4,61.34,57.29,61.18
03/23/2021,61.28,61.35,57.25,57.76
03/22/2021,61.55,61.9,60.39,61.55
03/19/2021,59.56,61.72,58.94,61.42
03/18/2021,64.42,64.82,58.2,60
03/17/2021,64.75,65.34,63.6,64.6
03/16/2021,65.33,65.43,63.8,64.8
03/15/2021,65.56,66.4,64.13,65.39
